S No.,Year,State,Industry,Count,Last Update
1,2024,Assam,Advertising,2,2025-02-28 01:00:01.383
2,2024,Assam,Architecture Interior Design,1,2025-02-28 01:00:01.673
3,2024,Assam,Automotive,3,2025-02-28 01:00:02.266
4,2024,Assam,Chemicals,3,2025-02-28 01:00:03.168
5,2024,Assam,Telecommunication & Networking,2,2025-02-28 01:00:03.767
6,2024,Assam,Construction,58,2025-02-28 01:00:04.072
7,2024,Assam,Agriculture,41,2025-02-28 01:00:04.367
8,2024,Assam,Aeronautics Aerospace & Defence,1,2025-02-28 01:00:04.664
9,2024,Assam,AI,8,2025-02-28 01:00:04.964
10,2024,Assam,Green Technology,10,2025-02-28 01:00:05.261
11,2024,Assam,Fashion,5,2025-02-28 01:00:05.876
12,2024,Assam,Finance Technology,8,2025-02-28 01:00:06.160
13,2024,Assam,Food & Beverages,15,2025-02-28 01:00:06.754
14,2024,Assam,Design,6,2025-02-28 01:00:07.049
15,2024,Assam,Education,16,2025-02-28 01:00:07.622
16,2024,Assam,Renewable Energy,6,2025-02-28 01:00:07.913
17,2024,Assam,Technology Hardware,8,2025-02-28 01:00:08.201
18,2024,Assam,Healthcare & Lifesciences,35,2025-02-28 01:00:08.489
19,2024,Assam,Internet of Things,1,2025-02-28 01:00:08.778
20,2024,Assam,IT Services,24,2025-02-28 01:00:09.075
21,2024,Assam,Human Resources,3,2025-02-28 01:00:09.378
22,2024,Assam,Marketing,6,2025-02-28 01:00:09.674
23,2024,Assam,Non- Renewable Energy,2,2025-02-28 01:00:10.267
24,2024,Assam,Pets & Animals,1,2025-02-28 01:00:10.555
25,2024,Assam,Media & Entertainment,11,2025-02-28 01:00:10.847
26,2024,Assam,Retail,6,2025-02-28 01:00:11.137
27,2024,Assam,House-Hold Services,6,2025-02-28 01:00:11.434
28,2024,Assam,Professional & Commercial Services,13,2025-02-28 01:00:11.726
29,2024,Assam,Sports,1,2025-02-28 01:00:12.003
30,2024,Assam,Social Impact,3,2025-02-28 01:00:12.305
31,2024,Assam,Social Network,1,2025-02-28 01:00:12.583
32,2024,Assam,Textiles & Apparel,7,2025-02-28 01:00:12.877
33,2024,Assam,Indic Language Startups,1,2025-02-28 01:00:13.177
34,2024,Assam,Transportation & Storage,8,2025-02-28 01:00:13.471
35,2024,Assam,Logistics,2,2025-02-28 01:00:13.755
36,2024,Assam,Travel & Tourism,12,2025-02-28 01:00:14.051
37,2024,Assam,Security Solutions,4,2025-02-28 01:00:14.354
38,2024,Assam,Real Estate,1,2025-02-28 01:00:14.920
39,2024,Assam,Other Specialty Retailers,1,2025-02-28 01:00:15.216
40,2024,Assam,Waste Management,3,2025-02-28 01:00:16.710
41,2024,Assam,Toys and Games,2,2025-02-28 01:00:17.321
42,2024,Chandigarh,Analytics,1,2025-02-28 01:00:17.624
43,2024,Chandigarh,AR VR (Augmented + Virtual Reality),1,2025-02-28 01:00:18.527
44,2024,Chandigarh,Automotive,2,2025-02-28 01:00:18.821
45,2024,Chandigarh,Chemicals,2,2025-02-28 01:00:19.722
46,2024,Chandigarh,Construction,5,2025-02-28 01:00:20.630
47,2024,Chandigarh,Agriculture,4,2025-02-28 01:00:20.926
48,2024,Chandigarh,AI,1,2025-02-28 01:00:21.525
49,2024,Chandigarh,Green Technology,2,2025-02-28 01:00:21.823
50,2024,Chandigarh,Events,2,2025-02-28 01:00:22.116
51,2024,Chandigarh,Fashion,7,2025-02-28 01:00:22.415
52,2024,Chandigarh,Finance Technology,4,2025-02-28 01:00:22.717
53,2024,Chandigarh,Enterprise Software,1,2025-02-28 01:00:23.034
54,2024,Chandigarh,Food & Beverages,1,2025-02-28 01:00:23.339
55,2024,Chandigarh,Education,10,2025-02-28 01:00:24.242
56,2024,Chandigarh,Renewable Energy,1,2025-02-28 01:00:24.537
57,2024,Chandigarh,Technology Hardware,4,2025-02-28 01:00:24.820
58,2024,Chandigarh,Healthcare & Lifesciences,16,2025-02-28 01:00:25.125
59,2024,Chandigarh,IT Services,13,2025-02-28 01:00:25.717
60,2024,Chandigarh,Human Resources,2,2025-02-28 01:00:26.004
61,2024,Chandigarh,Media & Entertainment,4,2025-02-28 01:00:27.495
62,2024,Chandigarh,Retail,1,2025-02-28 01:00:27.794
63,2024,Chandigarh,Professional & Commercial Services,4,2025-02-28 01:00:28.425
64,2024,Chandigarh,Sports,1,2025-02-28 01:00:28.723
65,2024,Chandigarh,Social Network,1,2025-02-28 01:00:29.324
